source,target,amount_tx_idr,trx,type
N5156 (B3),N237 (B1),230000000.0,1,INCOMING
N1482 (B4),N238 (B1),119531500.0,1,INCOMING
N5157 (B30),N239 (B1),480000000.0,1,INCOMING
N5158 (B12),N240 (B1),250000000.0,1,INCOMING
N5159 (B12),N241 (B1),495000000.0,1,INCOMING
N5160 (B4),N242 (B1),588528904.3,1,INCOMING
N243 (B3),N243 (B1),1100000000.0,1,INCOMING
N5161 (B3),N244 (B1),192964000.0,1,INCOMING
N245 (B4),N245 (B1),400000000.0,1,INCOMING
N5162 (B30),N246 (B1),3000000000.0,1,INCOMING
N5163 (B4),N246 (B1),16500000000.0,1,INCOMING
N5164 (B4),N246 (B1),2500000000.0,1,INCOMING
N5165 (B46),N247 (B1),739722900.0,1,INCOMING
N5166 (B11),N248 (B1),457960012.0,1,INCOMING
N5167 (B3),N249 (B1),106509554.0,1,INCOMING
N250 (B30),N250 (B1),19360000000.0,2,INCOMING
N251 (B4),N251 (B1),205000000.0,1,INCOMING
N252 (B4),N252 (B1),1300000000.0,1,INCOMING
N253 (B3),N253 (B1),600000000.0,1,INCOMING
N254 (B30),N254 (B1),3000000000.0,1,INCOMING
N5168 (B4),N255 (B1),334649120.0,1,INCOMING
N5169 (B30),N256 (B1),716300000.0,1,INCOMING
N5170 (B11),N257 (B1),150000000.0,1,INCOMING
N5171 (B5),N258 (B1),117229343.0,1,INCOMING
N259 (B17),N259 (B1),600000000.0,1,INCOMING
N1083 (B47),N260 (B1),1000000000.0,1,INCOMING
N5172 (B4),N261 (B1),130000000.0,1,INCOMING
N5173 (B17),N262 (B1),320000000.0,1,INCOMING
N263 (B7),N263 (B1),1000000000.0,1,INCOMING
N5174 (B21),N264 (B1),150000000.0,1,INCOMING
N5175 (B24),N265 (B1),1011573187.0,1,INCOMING
N5176 (B4),N266 (B1),405993600.0,1,INCOMING
N5177 (B4),N267 (B1),1000000000.0,1,INCOMING
N5178 (B48),N268 (B1),91000000000.0,1,INCOMING
N269 (B5),N269 (B1),4000000000.0,1,INCOMING
N270 (B39),N270 (B1),2000000000.0,1,INCOMING
N5179 (B5),N271 (B1),3938463488.0,3,INCOMING
N5180 (B4),N271 (B1),1101471223.0,4,INCOMING
N5181 (B4),N271 (B1),4299910000.0,3,INCOMING
N5182 (B4),N271 (B1),1061743514.0,3,INCOMING
N5179 (B5),N271 (B1),3938463488.0,3,INCOMING
N5183 (B30),N271 (B1),1025806000.0,1,INCOMING
N5184 (B17),N271 (B1),800000000.0,1,INCOMING
N39 (B4),N271 (B1),834492672.0,2,INCOMING
N271 (B14),N271 (B1),3200000000.0,1,INCOMING
N5185 (B5),N271 (B1),1251888608.0,2,INCOMING
N5186 (B5),N272 (B1),1000000000.0,2,INCOMING
N5187 (B18),N273 (B1),132291100.0,1,INCOMING
N5188 (B13),N274 (B1),366288222.0,1,INCOMING
N5189 (B5),N275 (B1),127086959.0,1,INCOMING
N5190 (B3),N275 (B1),126962913.0,1,INCOMING
N5191 (B5),N275 (B1),633600000.0,1,INCOMING
N276 (B12),N276 (B1),500000000.0,1,INCOMING
N5192 (B49),N277 (B1),673723059.0,1,INCOMING
N4967 (B9),N278 (B1),443311023.0,1,INCOMING
N279 (B7),N279 (B1),5000000000.0,1,INCOMING
N5193 (B4),N280 (B1),500000000.0,2,INCOMING
N5194 (B17),N281 (B1),1801330523.0,4,INCOMING
N5195 (B50),N281 (B1),3421507481.0,4,INCOMING
N5196 (B49),N281 (B1),2168370000.0,1,INCOMING
N281 (B3),N281 (B1),7695000000.0,3,INCOMING
N5197 (B17),N281 (B1),1045980000.0,1,INCOMING
N5198 (B4),N281 (B1),8711330475.0,1,INCOMING
N281 (B5),N281 (B1),37185000000.0,6,INCOMING
N5199 (B17),N281 (B1),690322500.0,1,INCOMING
N5200 (B49),N281 (B1),1000000000.0,1,INCOMING
N281 (B11),N281 (B1),8500000000.0,1,INCOMING
N5201 (B4),N282 (B1),750000000.0,1,INCOMING
N5202 (B4),N282 (B1),167850000.0,1,INCOMING
N5203 (B3),N283 (B1),171000000.0,1,INCOMING
N5204 (B7),N284 (B1),6000000000.0,2,INCOMING
N284 (B7),N284 (B1),3000000000.0,1,INCOMING
N5205 (B5),N284 (B1),2795368131.0,1,INCOMING
N5049 (B18),N285 (B1),194980800.0,1,INCOMING
N5071 (B18),N286 (B1),353830131.0,2,INCOMING
N5071 (B18),N286 (B1),353830131.0,2,INCOMING
N5206 (B51),N287 (B1),200000000.0,1,INCOMING
N5207 (B20),N288 (B1),600000000.0,1,INCOMING
N5208 (B18),N289 (B1),117508400.0,1,INCOMING
N5209 (B3),N290 (B1),188000000.0,1,INCOMING
N291 (B28),N291 (B1),104000000.0,1,INCOMING
N5194 (B17),N292 (B1),219021000.0,1,INCOMING
N5210 (B52),N293 (B1),200000000.0,1,INCOMING
N1839 (B4),N294 (B1),500000000.0,2,INCOMING
N5211 (B53),N294 (B1),584000000.0,1,INCOMING
N295 (B3),N295 (B1),670760000.0,3,INCOMING
