,node,unw_in_deg,unw_out_deg,unw_betweenness,unw_closeness,unw_pagerank,trx_in_deg,trx_out_deg,trx_betweenness,trx_closeness,trx_pagerank,amt_in_deg,amt_out_deg,amt_betweenness,amt_closeness,amt_pagerank
8028,N7679|B4,1,0,0.0,0.0003017757382282522,8.557749375058722e-05,1,0,0.0,0.00039631287099743104,6.0405805523914093e-05,1330739601.0,0.0,0.0,528544.09451151,5.434759077699125e-05
8029,N3456|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,1165000000.0,0.0,0.0,4.8939194727451286e-05
8030,N7680|B4,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,2,0,0.0,0.0001596169193934557,9.108701140707776e-05,1165000000.0,0.0,0.0,92976.85554668795,9.0826772344511e-05
8031,N3457|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,121913258.0,0.0,0.0,4.8939194727451286e-05
8032,N3458|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,2800000000.0,0.0,0.0,4.8939194727451286e-05
8033,N3458|B3,2,0,0.0,0.00021282255919127425,0.0001180340876562296,2,0,0.0,0.0002321700645722992,0.00011779682842019806,4600000000.0,0.0,0.0,504496.4318538555,9.365667759836293e-05
8034,N3459|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,4300000000.0,0.0,0.0,4.8939194727451286e-05
8035,N7681|B89,8,0,0.0,0.0006650704974727322,0.0003302835787723538,22,0,0.0,0.0013879732121170063,0.00033907841702472593,102364000000.0,0.0,0.0,801416.9570917508,0.00036329424563193266
8036,N3460|B1,0,2,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,90000000000.0,0.0,0.0,4.8939194727451286e-05
8037,N7682|B10,1,0,0.0,7.980845969672785e-05,7.023977543933437e-05,1,0,0.0,7.980845969672785e-05,7.008857981649587e-05,58000000000.0,0.0,0.0,4628890.662410215,7.593341141400091e-05
8038,N3460|B10,1,0,0.0,7.980845969672785e-05,7.023977543933437e-05,1,0,0.0,7.980845969672785e-05,7.008857981649587e-05,32000000000.0,0.0,0.0,2553870.7102952907,6.383255565796141e-05
8039,N3461|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,601921084.0,0.0,0.0,4.8939194727451286e-05
8040,N7683|B22,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,601921084.0,0.0,0.0,48038.394573024736,9.0826772344511e-05
8041,N3462|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,10,0.0,0.0,4.909014822591398e-05,0.0,164400000.0,0.0,0.0,4.8939194727451286e-05
8042,N3462|B104,2,0,0.0,0.00017956903431763768,0.00016914202875163082,17,0,0.0,0.0013003274898863416,0.00016880413490251843,33773136349.0,0.0,0.0,111078.46771765746,0.00016835310183947586
8043,N3463|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,10341344335.0,0.0,0.0,4.8939194727451286e-05
8044,N3463|B3,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,10341344335.0,0.0,0.0,825326.7625698324,9.0826772344511e-05
8045,N4592|B4,1,0,0.0,0.00010641127959563712,0.00012706415894060016,1,0,0.0,0.00012769353551476457,0.0001268072717213547,1990667151.0,0.0,0.0,238586.4550550846,0.00012646552422241613
8046,N7684|B106,1,0,0.0,0.00010641127959563712,6.217806026828255e-05,2,0,0.0,0.0001596169193934557,6.851942909977414e-05,2152752446.0,0.0,0.0,315331.13558742235,7.345042950868046e-05
8047,N7685|B106,1,0,0.0,0.00010641127959563712,6.217806026828255e-05,1,0,0.0,0.00010641127959563712,5.8804788662844065e-05,369511107.0,0.0,0.0,58085.916608213476,5.314644740751578e-05
8048,N7686|B106,1,0,0.0,0.00010641127959563712,6.217806026828255e-05,1,0,0.0,0.00010641127959563712,5.8804788662844065e-05,2330017578.0,0.0,0.0,338998.84206112474,7.546876992541111e-05
8049,N7687|B4,1,0,0.0,0.00010641127959563712,6.217806026828255e-05,1,0,0.0,0.00010641127959563712,5.8804788662844065e-05,267028200.0,0.0,0.0,42153.214632367286,5.197957724591993e-05
8050,N1486|B106,1,0,0.0,0.00010641127959563712,6.217806026828255e-05,2,0,0.0,0.0001596169193934557,6.851942909977414e-05,1104359614.0,0.0,0.0,168520.03288632544,6.15134309486009e-05
8051,N7688|B105,1,0,0.0,0.00010641127959563712,6.217806026828255e-05,1,0,0.0,0.00010641127959563712,5.8804788662844065e-05,585249371.0,0.0,0.0,91191.95035979705,5.56028428235444e-05
8052,N3464|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,24200000000.0,0.0,0.0,4.8939194727451286e-05
8053,N3464|B14,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,24200000000.0,0.0,0.0,1931364.7246608138,9.0826772344511e-05
8054,N3465|B1,0,2,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,343500000.0,0.0,0.0,4.8939194727451286e-05
8055,N7689|B4,1,0,0.0,7.980845969672785e-05,7.023977543933437e-05,1,0,0.0,7.980845969672785e-05,7.008857981649587e-05,193500000.0,0.0,0.0,15442.936951316839,7.253525373444126e-05
8056,N7690|B4,1,0,0.0,7.980845969672785e-05,7.023977543933437e-05,1,0,0.0,7.980845969672785e-05,7.008857981649587e-05,150000000.0,0.0,0.0,11971.268954509176,6.723071333752104e-05
8057,N146|B106,1,0,0.0,0.00014365522745411015,0.00013422124865975025,1,0,0.0,0.0002315241578308759,0.0001358997016195343,1243900265.0,0.0,0.0,248317.53537958092,0.00012797859948670634
