entity,in_degree,out_degree,total_degree
N5237 (B3),0.0,2.0,2.0
N327 (B4),0.0,1.0,1.0
N5241 (B4),0.0,1.0,1.0
N3687 (B3),0.0,1.0,1.0
N5242 (B17),0.0,1.0,1.0
N5243 (B3),0.0,1.0,1.0
N329 (B5),0.0,1.0,1.0
N5244 (B17),0.0,1.0,1.0
N5244 (B59),1.0,1.0,2.0
N5245 (B13),0.0,1.0,1.0
N5246 (B25),0.0,3.0,3.0
N5247 (B4),0.0,1.0,1.0
N5248 (B4),0.0,1.0,1.0
N336 (B11),0.0,1.0,1.0
N5249 (B17),0.0,1.0,1.0
N337 (B4),0.0,2.0,2.0
N338 (B4),1.0,1.0,2.0
N5250 (B4),0.0,2.0,2.0
N5251 (B8),0.0,1.0,1.0
N5252 (B8),0.0,1.0,1.0
N5253 (B11),0.0,1.0,1.0
N342 (B4),0.0,1.0,1.0
N5254 (B8),0.0,1.0,1.0
N344 (B29),0.0,1.0,1.0
N344 (B10),1.0,1.0,2.0
N345 (B60),0.0,1.0,1.0
N5255 (B30),0.0,1.0,1.0
N5256 (B11),0.0,3.0,3.0
N5257 (B3),0.0,2.0,2.0
N5258 (B18),0.0,2.0,2.0
N349 (B4),0.0,1.0,1.0
N5259 (B51),0.0,1.0,1.0
N5260 (B4),0.0,1.0,1.0
N5261 (B11),0.0,1.0,1.0
N5262 (B22),0.0,1.0,1.0
N5263 (B4),0.0,2.0,2.0
N353 (B4),0.0,1.0,1.0
N5106 (B3),0.0,1.0,1.0
N5264 (B13),0.0,1.0,1.0
N5265 (B3),0.0,1.0,1.0
N5266 (B3),0.0,1.0,1.0
N5267 (B3),0.0,1.0,1.0
N5268 (B3),0.0,1.0,1.0
N5269 (B4),0.0,1.0,1.0
N5270 (B5),0.0,1.0,1.0
N5271 (B5),0.0,1.0,1.0
N358 (B4),0.0,1.0,1.0
N358 (B5),0.0,1.0,1.0
N5272 (B17),0.0,1.0,1.0
N360 (B4),0.0,1.0,1.0
N361 (B4),0.0,1.0,1.0
N5273 (B7),0.0,3.0,3.0
N3894 (B11),1.0,6.0,7.0
N365 (B17),0.0,1.0,1.0
N5274 (B8),0.0,1.0,1.0
N5275 (B16),0.0,8.0,8.0
N368 (B4),0.0,1.0,1.0
N369 (B4),0.0,1.0,1.0
N5276 (B4),0.0,1.0,1.0
